tanggal,wilayah_stasiun,pm10,so2,co,o3,no2
01/02/2019,DKI 2,51.00,25.64,16.00,49.71,14.82
01/02/2019,DKI 3,53.67,9.56,22.96,84.81,9.81
01/02/2019,DKI 4,51.35,20.50,24.54,56.00,8.42
01/02/2019,DKI 5,48.61,14.50,21.79,62.86,9.89
01/03/2019,DKI 1,38.58,13.00,25.16,41.64,13.83
01/03/2019,DKI 2,46.74,18.90,14.61,58.61,15.38
01/03/2019,DKI 3,51.96,9.90,19.51,73.03,9.45
01/03/2019,DKI 4,46.31,21.10,19.17,54.50,8.50
01/03/2019,DKI 5,44.00,14.64,17.61,100.90,9.51
01/04/2019,DKI 1,46.03,8.51,27.64,53.06,15.67
01/04/2019,DKI 2,56.66,12.93,14.86,70.30,11.13
01/04/2019,DKI 3,55.12,11.58,22.32,99.68,9.67
01/04/2019,DKI 4,55.61,21.09,25.18,80.58,9.38
01/04/2019,DKI 5,51.69,14.26,24.42,99.38,9.26
01/05/2019,DKI 1,49.70,7.64,22.54,50.74,14.29
01/05/2019,DKI 2,62.45,10.96,12.45,67.80,9.70
01/05/2019,DKI 3,61.25,11.41,18.87,90.78,10.19
01/05/2019,DKI 4,64.32,23.35,20.31,66.72,9.46
01/05/2019,DKI 5,57.96,18.70,22.22,74.00,9.54
01/06/2019,DKI 1,53.23,8.80,19.51,65.38,14.61
01/06/2019,DKI 2,65.58,12.74,12.48,83.38,8.80
01/06/2019,DKI 3,62.40,12.76,16.80,92.13,10.76
01/06/2019,DKI 4,65.80,24.09,17.22,83.22,10.22
01/06/2019,DKI 5,61.92,19.50,17.96,88.19,8.76
01/07/2019,DKI 1,61.58,20.82,21.48,56.24,15.72
01/07/2019,DKI 2,70.06,10.56,9.23,79.93,8.00
01/07/2019,DKI 3,65.09,12.77,15.48,86.87,10.61
01/07/2019,DKI 4,67.96,27.12,13.48,82.96,10.16
01/07/2019,DKI 5,66.07,22.00,16.83,84.38,9.45
01/08/2019,DKI 1,59.43,18.87,20.66,59.41,15.61
01/08/2019,DKI 2,72.87,8.58,9.46,77.87,8.54
01/08/2019,DKI 3,62.26,12.64,21.70,101.46,10.63
01/08/2019,DKI 4,65.62,28.34,11.86,86.63,7.82
01/08/2019,DKI 5,63.56,21.2,13.93,114.96,8.36
01/09/2019,DKI 1,57.40,20.38,18.60,58.23,13.72
01/09/2019,DKI 2,70.00,08.09,13.00,76.83,7.48
01/09/2019,DKI 3,61.24,13.34,18.37,98.41,9.62
01/09/2019,DKI 4,67.03,30.13,10.16,94.9,7.70
01/09/2019,DKI 5,64.61,22.69,12.42,120.8,4.34
01/10/2019,DKI 1,59.96,21.75,18.55,65.96,15.93
01/10/2019,DKI 2,70.74,8.67,14.48,85.09,8.80
01/10/2019,DKI 3,57.10,12.28,18.11,100.96,10.03
01/10/2019,DKI 4,71.24,32.86,13.56,91.93,8.58
01/10/2019,DKI 5,67.67,21.54,9.24,137.12,8.45
01/11/2019,DKI 1,57.73,22.06,16.76,70.76,15.20
01/11/2019,DKI 2,66.26,9.41,16.87,89.80,10.46
01/11/2019,DKI 3,51.30,14.03,21.60,99.23,10.27
01/11/2019,DKI 4,58.53,33.13,15.34,101.20,7.89
01/11/2019,DKI 5,63.42,21.68,18.95,131.88,9.69
01/12/2019,DKI 1,53.60,23.15,18.56,51.53,12.50
01/12/2019,DKI 2,60.96,8.80,20.00,66.25,10.70
01/12/2019,DKI 3,46.25,11.16,27.80,81.60,8.32
01/12/2019,DKI 4,57.77,36.20,16.96,91.31,6.90
01/12/2019,DKI 5,56.83,18.03,24.64,90.58,8.48
01/01/2020,DKI 1,39.50,27.06,20.16,32.47,12.28
01/01/2020,DKI 2,46.75,10.38,17.06,43.66,9.47
01/01/2020,DKI 3,48.03,14.25,30.56,57.31,10.12
01/01/2020,DKI 4,53.22,33.53,22.09,54.09,5.28
01/01/2020,DKI 5,44.84,17.56,25.09,60.84,7.38
