tanggal,wilayah_stasiun,pm10,so2,co,o3,no2,,,,,,
December 2019,DKI 5,56.83,18.03,24.64,90.58,8.48,,,,,,
January 2020,DKI 1,39.5,27.06,20.16,32.47,12.28,,,,,,
January 2020,DKI 2,46.75,10.38,17.06,43.66,9.47,,,,,,
January 2020,DKI 3,48.03,14.25,30.56,57.31,10.12,,,,,,
January 2020,DKI 4,53.22,33.53,22.09,54.09,5.28,,,,,,
January 2020,DKI 5,44.84,17.56,25.09,60.84,7.38,,,,,,
February 2020,DKI 1,38.2,8.53,23,28.67,14.73,,,,,,
February 2020,DKI 2,43.13,9.53,16.97,39.97,9.13,,,,,,
February 2020,DKI 3,46.7,15.83,35.13,49.53,9.7,,,,,,
February 2020,DKI 4,54.03,26.07,23.27,74.3,4.17,,,,,,
February 2020,DKI 5,38.63,17.43,23.7,69.93,6.93,,,,,,
March 2020,DKI 1,45.53,7.22,14.97,45.31,14.28,,,,,,
March 2020,DKI 2,49.31,12.34,14.19,59.75,8.34,,,,,,
March 2020,DKI 3,47.25,18.03,26.5,67.66,8.81,,,,,,
March 2020,DKI 4,59.38,21.16,17.28,90.88,10.5,,,,,,
March 2020,DKI 5,44,18.38,30.56,98.34,6.97,,,,,,
April 2020,DKI 1,45.39,5.77,7.23,49.55,10.61,,,,,,
April 2020,DKI 2,51.74,13.06,11.74,65.77,8.74,,,,,,
April 2020,DKI 3,48.61,20.03,22.71,60.87,8.29,,,,,,
April 2020,DKI 4,63.84,26.84,16,64.9,7.55,,,,,,
April 2020,DKI 5,46.35,8.77,12.03,92.65,7.42,,,,,,
May 2020,DKI 1,47.5,7.56,6.62,45.47,10.41,,,,,,
May 2020,DKI 2,51.91,24.56,11.31,58.12,10.59,,,,,,
May 2020,DKI 3,46.19,19.5,19.19,56.66,7.19,,,,,,
May 2020,DKI 4,58.44,22.66,14.56,52.22,4.91,,,,,,
May 2020,DKI 5,45.03,9.16,12.12,78,7.88,,,,,,
June 2020,DKI 1,60.9,19.52,7.35,49.23,12.97,,,,,,
June 2020,DKI 2,65.29,24.16,12.81,65.35,13.74,,,,,,
June 2020,DKI 3,59.61,9.9,20.26,62.65,9.23,,,,,,
June 2020,DKI 4,64.81,23.74,14.77,62.39,4.65,,,,,,
June 2020,DKI 5,53.87,13.39,15,77.1,08.06,,,,,,
July 2020,DKI 1,61.19,20.72,07.06,55.84,13.22,,,,,,
July 2020,DKI 2,65.22,25.25,10.69,69.44,13.47,,,,,,
July 2020,DKI 3,59.44,19.09,17.44,73.41,10.62,,,,,,
July 2020,DKI 4,63.25,24.38,11.91,63.56,4.91,,,,,,
July 2020,DKI 5,56.59,16.62,14.19,85.12,7.53,,,,,,
August 2020,DKI 1,58.66,20.66,07.06,52.72,13.72,,,,,,
August 2020,DKI 2,62.16,24.06,11.47,63,14.16,,,,,,
August 2020,DKI 3,56.34,24.06,18.12,66.72,10.06,,,,,,
August 2020,DKI 4,77.38,28.16,13.78,60.53,6.97,,,,,,
August 2020,DKI 5,56.47,18.16,15.84,80.81,6.91,,,,,,
September 2020,DKI 1,55.29,20.97,6.61,65.16,13.35,,,,,,
September 2020,DKI 2,61.81,26.84,9.61,82.9,12.71,,,,,,
September 2020,DKI 3,51.19,29.81,16.10,80.55,9.13,,,,,,
September 2020,DKI 4,72.32,34.58,9.77,74.19,7.74,,,,,,
September 2020,DKI 5,54.45,19.9,13,99,6.39,,,,,,
October 2020,DKI 1,50.06,20.47,7.62,61.84,14.72,,,,,,
October 2020,DKI 2,55.97,25.62,10.81,83.31,13.75,,,,,,
October 2020,DKI 3,43.03,36.5,17.44,71.81,12.22,,,,,,
October 2020,DKI 4,64.69,13.22,72.38,10.09,75.41,,,,,,
